"Task Name","Description","Status","Priority","List","Tags","User Type","Next Step","Notion URL"
"Cash flow planning","What it does: Helps clients plan income, expenses, budgets, and monthly surplus. | Examples: Client sets income and recurring expenses; adjusts budget lines to create room for goals. | Current app behaviour: Shipped in Planning Cash Flow using budget and profile assumptions. | Gaps and next steps: Improve support for irregular income and annual expenses.","Done","High","Planning","cash-flow,budget,income","Client","Improve guided setup for users estimating spending.","https://www.notion.so/363a694147bf81a184d9f116d24d0b81"
"Wealth planning","What it does: Groups the client’s assets, debts, investments, CPF, cash, property, and vehicles into one wealth workspace. | Examples: Client adds CPF and investment balances; records property and mortgage; advisor reviews asset concentration. | Current app behaviour: Shipped in Wealth workspace using setup data. | Gaps and next steps: Add historical views only if balance snapshots are introduced.","Done","High","Planning","wealth,assets,debts","Client","Keep education around assumptions visible.","https://www.notion.so/363a694147bf814da07aea69dd00665b"
"Protection planning","What it does: Helps clients identify basic protection gaps such as emergency cash, insurance, dependents, and estate planning. | Examples: Client checks emergency cash; family reviews support needs; advisor starts a protection conversation. | Current app behaviour: Partial with emergency-fund recommendation and roadmap cards. | Gaps and next steps: Add saved insurance, dependent, and estate models if in scope.","In progress","Medium","Planning","protection,insurance,estate","Client","Define wording to avoid regulated advice issues.","https://www.notion.so/363a694147bf8111abe7ec95e09dc9cb"
"Future planning","What it does: Helps clients plan future goals, retirement direction, and long-term scenarios. | Examples: Client creates a goal; advisor discusses trade-offs between spending today and saving for tomorrow. | Current app behaviour: Partial. Goals are shipped; retirement studio, scenarios, reports, vault, and tax lens are mostly planned. | Gaps and next steps: Keep shipped goals clearly separated from planned modules.","In progress","Medium","Planning","future,goals,retirement","Client","Build scenario comparison after assumptions are stable.","https://www.notion.so/363a694147bf810eae03dd3e90ebb2f0"
"Goals","What it does: Lets clients track financial goals with targets, deadlines, and contribution assumptions. | Examples: Save for home down payment; child education fund; advisor reviews deadline realism. | Current app behaviour: Shipped through setup and Future planning workspace. | Gaps and next steps: Improve prioritisation when goals compete.","Done","High","Planning","goals,future","Client","Add clearer scenario handling for changed deadlines or contributions.","https://www.notion.so/363a694147bf81af9e9af15465d09830"
"Financial setup","What it does: Guides clients through core data needed for useful planning: profile, income, CPF, assets, debts, budget, housing, vehicles, and goals. | Examples: New client enters assumptions; client updates housing loan; advisor asks client to complete missing setup. | Current app behaviour: Shipped with setup hub, progress, recommended next steps, and detailed tabs. | Gaps and next steps: Keep setup progressive and improve incomplete-state guidance.","Done","High","Setup","setup,profile,data-entry","Client","Continue improving incomplete-state guidance.","https://www.notion.so/363a694147bf818f8131e59a2d455b97"
"Profile assumptions","What it does: Stores the client’s core profile, income, CPF, and retirement assumptions used across the app. | Examples: Client updates income; changes retirement age; advisor reviews assumptions. | Current app behaviour: Shipped through Financial Setup and reused by dashboard, cash flow, CPF, and projections. | Gaps and next steps: Make stale assumptions easier to identify.","Done","High","Setup","profile,assumptions,income","Client","Keep assumptions visible near projections.","https://www.notion.so/363a694147bf81b8bc9ee9f4fa615f5b"
"Budget lines","What it does: Lets clients define monthly budget categories that spending and cash-flow guidance can compare against. | Examples: Client sets budgets for groceries, transport, dining, insurance, subscriptions, and debt repayments. | Current app behaviour: Shipped with budget lines, overrides, insights, and guided setup. | Gaps and next steps: Improve annual and irregular expense handling.","Done","High","Budget","budget,cash-flow","Client","Make setup easier for users without exact spending data.","https://www.notion.so/363a694147bf81c791fbeca363250709"
"Guided budget templates","What it does: Provides SG-oriented starter budget templates so clients can set up spending categories faster. | Examples: Client chooses a starter budget and edits category values; advisor refines template values. | Current app behaviour: Shipped in onboarding and domain logic. | Gaps and next steps: Add more variants only if they match real client patterns.","Done","Medium","Budget","budget,onboarding,templates","Client","Keep suggested budgets clearly editable.","https://www.notion.so/363a694147bf8142b0dfe272adfca459"
"CPF balances","What it does: Tracks CPF balances so CPF can be included in net worth and retirement planning. | Examples: Client enters CPF OA/SA/MA balances; advisor explains CPF alongside cash and investments. | Current app behaviour: Shipped in Financial Setup, dashboard, Wealth, and CPF projection views. | Gaps and next steps: Make manual update needs clear and review policy-sensitive constants.","Done","High","Setup","cpf,singapore,retirement","Client","Keep CPF assumptions reviewed regularly.","https://www.notion.so/363a694147bf81068d04cbea172bb146"
"Cash accounts","What it does: Tracks cash balances for net worth, emergency fund checks, and liquidity planning. | Examples: Client enters savings account balances; advisor reviews cash allocation. | Current app behaviour: Shipped through setup and used by net worth, Wealth, and emergency-fund context. | Gaps and next steps: Account syncing is not shipped, so balances are manually maintained.","Done","High","Setup","cash,liquidity","Client","Add clearer prompts when balances become stale.","https://www.notion.so/363a694147bf81e4b775efa571754a44"
"Investments","What it does: Tracks investment balances, return assumptions, and contribution behaviour for wealth projections. | Examples: Client enters portfolio balance and expected return; models monthly contributions. | Current app behaviour: Shipped in setup and Wealth planning, including contribution phases. | Gaps and next steps: Keep projections clearly assumption-based.","Done","High","Setup","investments,wealth,projection","Client","Consider review reminders for outdated balances or assumptions.","https://www.notion.so/363a694147bf8147b210ed6396b60276"
"Debt planning","What it does: Tracks debts and repayment assumptions so loans affect net worth, budgets, and projections correctly. | Examples: Client records personal loan; sees repayment effect on cash flow; advisor compares repayment approaches. | Current app behaviour: Shipped with categories, repayment estimates, budget sync, and payoff-aware projections. | Gaps and next steps: Keep repayment methods understandable for business users.","Done","High","Setup","debt,liabilities,budget","Client","Add clearer warnings for missing debt assumptions.","https://www.notion.so/363a694147bf811da377f9a53ee7003a"
"Housing planning","What it does: Tracks owned property and linked mortgages so housing affects net worth and cash-flow planning. | Examples: Client adds home and linked mortgage; reviews cash versus CPF housing payments. | Current app behaviour: Shipped with property records, optional linked mortgages, dashboard insights, and projections. | Gaps and next steps: Future property purchase simulation is not yet a full workflow.","Done","High","Setup","housing,property,mortgage","Client","Keep CPF versus cash housing assumptions transparent.","https://www.notion.so/363a694147bf81f2a4c6df3b5c1e1eb5"
"Vehicle planning","What it does: Models vehicle ownership, loans, and Singapore-specific COE/PARF assumptions. | Examples: Client adds a car loan; models vehicle value over time; advisor discusses car affordability. | Current app behaviour: Shipped in setup, Wealth, and long-term projections. | Gaps and next steps: Review Singapore vehicle assumptions when rules change.","Done","Medium","Setup","vehicle,coe,parf,singapore","Client","Improve explanations for COE and PARF.","https://www.notion.so/363a694147bf8169b927c7142c3535fd"
"Income tax lens","What it does: Estimates income tax impact so tax can be considered in cash-flow and future planning. | Examples: Client estimates annual tax; advisor discusses after-tax cash flow. | Current app behaviour: Partial with income tax setup tab and API support; fuller Future tax lens remains planned. | Gaps and next steps: Confirm which Singapore tax cases are in scope.","In progress","Medium","Planning","tax,income,singapore","Client","Make assumptions and limitations very clear.","https://www.notion.so/363a694147bf810ba9a6dbddbac47058"
"Methodology help","What it does: Explains how key calculations work so clients and advisors can trust planning outputs. | Examples: Client opens methodology for safe-to-spend; advisor uses explanations in a planning conversation. | Current app behaviour: Shipped with help and methodology topics linked from relevant areas. | Gaps and next steps: Keep topics updated whenever calculation logic changes.","Done","Medium","Help","methodology,education","Client; Advisor","Use plain language and examples.","https://www.notion.so/363a694147bf819392bbe6435bd5816d"
"Contact advisor","What it does: Lets a linked client contact their advisor, currently through WhatsApp when advisor contact details are verified. | Examples: Client asks about projections; client sees consent prompt; advisor verifies phone number. | Current app behaviour: Shipped with consent-gated advisor access. | Gaps and next steps: Keep fallback states clear when advisor phone is missing or unverified.","Done","High","Communication","advisor,client,whatsapp,consent","Client","Decide later whether in-app messaging is needed.","https://www.notion.so/363a694147bf81caaf63e2d6d72aa74d"
"Client invite keys","What it does: Lets advisors create access keys that invited clients can use to sign up and link to the advisor. | Examples: Advisor creates key; client signs up through invite link; advisor revokes unused key. | Current app behaviour: Shipped with create, list, revoke, and claim flows. | Gaps and next steps: Review single-use and expiry edge cases.","Done","High","Advisor","invite,access-key,advisor","Advisor","Keep invite status easy for advisors to understand.","https://www.notion.so/363a694147bf817c97d3f41c7e327b05"
"QR invite sharing","What it does: Lets advisors share invite links as QR codes or URLs for smoother client signup. | Examples: Advisor shows QR code in a meeting; sends signup link by WhatsApp or email. | Current app behaviour: Partial with share URLs and QR generation, but token and expiry edge cases remain. | Gaps and next steps: Tighten error messages for expired, invalid, or used links.","In progress","Medium","Advisor","qr,invite,signup","Advisor","Confirm QR reuse, single-use, and expiry rules.","https://www.notion.so/363a694147bf814daedaf5c8fa9ec2f2"
"Buy invite keys","What it does: Supports a commercial flow where advisors can purchase or unlock invite keys. | Examples: Advisor buys more invite capacity; coupon unlocks trial or promotional invites. | Current app behaviour: Partial with pricing, coupons, purchases, and RPC flows; payment provider needs confirmation. | Gaps and next steps: Confirm live payment provider and purchase flow.","In progress","Medium","Advisor","payments,invite-keys,coupons","Advisor","Define refunds, failed payments, coupons, and allocation.","https://www.notion.so/363a694147bf81858da6e8f031950d2f"
"Client notifications","What it does: Shows important client alerts such as salary review reminders and advisor proposal updates. | Examples: Client receives advisor proposal notification; uses bell to open review screen. | Current app behaviour: Shipped with financial inbox notifications. | Gaps and next steps: Keep notification volume low and action-oriented.","Done","Medium","Client","notifications,inbox","Client","Add notification types only for real decisions.","https://www.notion.so/363a694147bf81a88fd2d11af67b03f2"
"Advisor dashboard","What it does: Gives advisors an operations snapshot of client invites, linked clients, and workspace activity. | Examples: Advisor checks linked client count; reviews access-key information. | Current app behaviour: Shipped with advisor dashboard data and operational hints. | Gaps and next steps: Add more advisor metrics only when they support daily workflow.","Done","High","Advisor","dashboard,advisor","Advisor","Avoid turning this into a generic CRM dashboard.","https://www.notion.so/363a694147bf816383e5c0ecd910ff20"
"Advisor client list","What it does: Lets advisors view, search, and prioritise their linked client roster. | Examples: Advisor searches for a client; reviews completion signals; opens client workspace. | Current app behaviour: Shipped with roster listing, search, sorting, pagination, and health signals. | Gaps and next steps: Improve health signals and add filters if advisors need them.","Done","High","Advisor","client-roster,advisor","Advisor","Keep consent status visible where relevant.","https://www.notion.so/363a694147bf81678ff2c199bf3caa58"
"Advisor client workspace","What it does: Lets advisors review an individual client’s profile, goals, budget, and planning data. | Examples: Advisor reviews a client before meeting; checks assumptions; starts a proposal. | Current app behaviour: Shipped with per-client workspace and consent-gated reads. | Gaps and next steps: Keep advisor access clearly tied to client consent.","Done","High","Advisor","client-workspace,advisor,consent","Advisor","Use proposal flow instead of silent direct edits.","https://www.notion.so/363a694147bf814c8703f95720361116"
"Advisor proposal flow","What it does: Lets advisors suggest plan changes while clients remain in control of accepting or rejecting them. | Examples: Advisor proposes goal contribution change; client compares before and after. | Current app behaviour: Shipped with field-level draft proposals and client acceptance. | Gaps and next steps: Partial approval and deeper projection comparison are planned.","Done","High","Advisor","proposal,collaboration,review","Client; Advisor","Keep language clear that nothing changes silently.","https://www.notion.so/363a694147bf815aaca3fff035b5d35a"
"Proposal review page","What it does: Shows clients the before-and-after details of advisor suggestions before they decide. | Examples: Client reviews advisor note; accepts proposal; canonical tracker updates. | Current app behaviour: Shipped with before/after views, advisor notes, and accept/reject actions. | Gaps and next steps: Add partial approvals only if clients need them.","Done","High","Advisor","proposal,client-review","Client","Improve projection comparison for long-term changes.","https://www.notion.so/363a694147bf816a906ee4ce7603ad0d"
"Advisor phone verification","What it does: Lets advisors verify their phone number so clients can contact them reliably. | Examples: Advisor verifies WhatsApp-capable number; client contact button becomes useful. | Current app behaviour: Shipped through advisor profile and Supabase Auth Phone. | Gaps and next steps: Make setup errors clear when SMS provider configuration is missing.","Done","Medium","Advisor","phone,verification,whatsapp","Advisor","Decide whether phone verification is mandatory before invites.","https://www.notion.so/363a694147bf8169a9ebf0dbaa9c1a91"
"Advisor opportunities","What it does: Would help advisors identify client opportunities or planning follow-ups across their roster. | Examples: Advisor sees clients with incomplete setup; flags spending, debt, or goals needing attention. | Current app behaviour: Planned. Route exists but shows a coming-soon style panel. | Gaps and next steps: Define opportunity types and thresholds.","Not started","Medium","Advisor","opportunities,advisor,planned","Advisor","Keep opportunity outputs explainable.","https://www.notion.so/363a694147bf81ca9a2ed8083a384e8f"
"Advisor activity feed","What it does: Would give advisors a cross-client feed of recent client activity and changes. | Examples: Advisor sees client updated income; client accepted proposal; setup section completed. | Current app behaviour: Planned. Route exists as work-in-progress/placeholder. | Gaps and next steps: Define which events are worth showing and avoid noise.","Not started","Medium","Advisor","activity,advisor,planned","Advisor","Add privacy and consent checks before surfacing activity.","https://www.notion.so/363a694147bf81afac64e69f07acf3fa"
"Advisor notes and meeting prep","What it does: Would help advisors capture notes and prepare for client meetings. | Examples: Advisor prepares talking points; records client plans; lists follow-up tasks. | Current app behaviour: Planned. No advisor notes or meeting-prep workflow is implemented. | Gaps and next steps: Define visibility, retention, audit, and compliance requirements.","Not started","Medium","Advisor","notes,meetings,planned","Advisor","Decide whether notes are private to advisors or visible to clients.","https://www.notion.so/363a694147bf8187b61bfabc8179874c"
"Household planning","What it does: Planned shared-family planning for household income, expenses, dependents, assets, debts, and goals. | Examples: Couple checks home affordability; family models career break; advisor reviews shared goals with spouse or partner. | Current app behaviour: Not started. App is built around one client profile at a time; no household entity or spouse/dependent model exists. | Gaps and next steps: Confirm scope, define household model, and decide consent rules.","Not started","Needs confirmation","Planning","household,family,planned","Needs confirmation","Confirm whether this is in scope.","https://www.notion.so/363a694147bf81f29ab9c49e00cef0a6"
"Regulated advice workflow","What it does: Would define how the product handles regulated advice, disclosures, approvals, and compliance-sensitive outputs. | Examples: Advisor presents formal recommendation; client receives disclosures; business keeps auditable records. | Current app behaviour: Not shipped. Current product is educational planning with reviewable advisor suggestions. | Gaps and next steps: Confirm regulatory scope before building.","Not started","Needs confirmation","Compliance","compliance,regulated-advice,planned","Needs confirmation","Confirm regulatory scope and required disclosures.","https://www.notion.so/363a694147bf81b8bb29fd03f646bff6"
"Scenario simulator","What it does: Would let clients compare different financial scenarios side by side. | Examples: Retire at 60 versus 65; buy home now versus later; compare savings plans. | Current app behaviour: Planned. Projection logic exists but no saved scenario simulator or comparison workflow exists. | Gaps and next steps: Define changeable assumptions and whether scenarios are saved or temporary.","Not started","Medium","Planning","scenarios,projection,planned","Client; Advisor","Build after base projection assumptions are stable.","https://www.notion.so/363a694147bf812f9b80c439b65198fd"
"Retirement planning studio","What it does: Would become a dedicated retirement planning workspace beyond the current projection panels. | Examples: Client checks retiring at 62; advisor tests higher monthly contributions. | Current app behaviour: Partial/planned. Retirement and CPF projections exist, but no full retirement studio workflow exists. | Gaps and next steps: Define retirement questions this workspace must answer.","In progress","Medium","Planning","retirement,planned","Client; Advisor","Differentiate from existing projection charts.","https://www.notion.so/363a694147bf81efa234c6736bf03b2b"
"AI insights","What it does: Would add contextual AI-generated insights on top of existing financial data and planning workflows. | Examples: Explain rising spending; suggest advisor discussion point; highlight underfunded goal. | Current app behaviour: Planned. Static insight-style cards exist, but no generative AI insight pipeline is shipped. | Gaps and next steps: Define approved insight types, tone, and guardrails.","Not started","Medium","Planning","ai,insights,planned","Client; Advisor","Start with explainable rule-based insights before broad AI generation.","https://www.notion.so/363a694147bf81d7877de8fd08c19ce2"
"Insurance tracking","What it does: Would let clients record insurance coverage and identify protection gaps. | Examples: Client records life, hospitalisation, disability, and critical illness cover; advisor reviews premiums. | Current app behaviour: Planned. No saved insurance tracking data model or workflow exists. | Gaps and next steps: Define policy fields and wording boundaries.","Not started","Medium","Protection","insurance,planned","Client; Advisor","Link premiums to budget if this ships.","https://www.notion.so/363a694147bf81f79a69f23d025f7d72"
"Dependents planning","What it does: Would track dependents so family responsibilities can be included in protection and future planning. | Examples: Parent records child and education goal; client supports elderly parent. | Current app behaviour: Planned. No dependent data model or workflow exists. | Gaps and next steps: Confirm whether dependents belong under household planning or as a separate module.","Not started","Medium","Protection","dependents,family,planned","Client; Advisor","Define minimum fields and planning horizon.","https://www.notion.so/363a694147bf81d48d54efa23cbea6c6"
"Estate checklist","What it does: Would help clients track estate-planning readiness such as wills, beneficiaries, nominees, and key documents. | Examples: Client marks CPF nomination; records will existence and storage location. | Current app behaviour: Planned. Roadmap card exists, but no saved estate checklist is implemented. | Gaps and next steps: Confirm compliance boundaries and whether sensitive details are stored.","Not started","Medium","Protection","estate,planned","Client; Advisor","Link with documents vault only if storage becomes in scope.","https://www.notion.so/363a694147bf8101afcbd708d78aea44"
"Documents vault","What it does: Would store or organise important financial documents for clients and advisors. | Examples: Client stores insurance policy; advisor requests statement; estate documents are listed. | Current app behaviour: Planned. No file-storage workflow is implemented. | Gaps and next steps: Decide whether documents are stored in app or only tracked as checklist items.","Not started","Medium","Planning","documents,vault,planned","Client; Advisor","Define privacy, retention, and access rules before building.","https://www.notion.so/363a694147bf81998124cc820a222398"
"Risk profiling","What it does: Would capture a client’s risk profile for planning conversations and suitability context. | Examples: Client completes questionnaire; advisor compares risk comfort with asset mix. | Current app behaviour: Planned. No full risk profiling workflow exists. | Gaps and next steps: Confirm whether this is informational or part of regulated advice.","Not started","Medium","Planning","risk,planned","Client; Advisor","Define questions, scoring, review cadence, and audit needs.","https://www.notion.so/363a694147bf816abd46e69c619b93d3"
"Wealth reports","What it does: Would create advisor- or client-facing wealth reports summarising progress and recommendations. | Examples: Advisor prepares quarterly report; client downloads summary of net worth, cash flow, goals, and projections. | Current app behaviour: Planned. Dashboard and planning views exist, but no report generation workflow is implemented. | Gaps and next steps: Define report audience and compliance wording.","Not started","Medium","Planning","reports,wealth,planned","Client; Advisor","Decide whether reports are downloadable, shareable, or in-app only.","https://www.notion.so/363a694147bf8191842af0d4c30955d1"
"Account syncing","What it does: Would automatically import bank or account data instead of relying only on manual entry. | Examples: Client connects bank account; cash balances and expenses update automatically. | Current app behaviour: Planned. Current app uses manually entered balances and expenses. | Gaps and next steps: Choose account aggregation provider and define consent, security, errors, and categorisation.","Not started","Medium","Setup","account-syncing,banking,planned","Client","Decide how imported transactions map to budget categories.","https://www.notion.so/363a694147bf8105b071d43c4afc7cdb"
"Admin console","What it does: Would give internal operators tools to manage users, advisors, support cases, and platform operations. | Examples: Operator investigates client account link issue; reviews advisor invite-key usage. | Current app behaviour: Not in repo. No admin console implementation exists. | Gaps and next steps: Confirm internal support tooling requirements and access boundaries.","Not started","Needs confirmation","Admin","admin,operations,planned","Internal","Build only minimum operational workflows needed.","https://www.notion.so/363a694147bf81f29f24f836153cf273"
